I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;;I_h / A;V_h / V;
25.45;0.85;;32.55;1.45;;43.95;2.2;;24;2.9;;27.8;4.05;;27.4;4.3;;26.4;4.35;;22.25;3.55;;50.8;12.05;
25.55;0.95;;32.75;1.45;;44.25;2.2;;24.1;2.95;;27.95;3.95;;27.55;4.3;;26.6;4.4;;22.35;3.6;;51.25;12.15;
25.7;0.9;;32.8;1.45;;44.55;2.25;;24.35;3;;28.05;4.05;;27.9;4.35;;26.8;4.45;;22.4;3.65;;52;12.3;
25.85;0.9;;33;1.45;;45;2.25;;24.5;3;;28.15;4.1;;28.05;4.45;;27;4.5;;22.4;3.65;;52.6;12.55;
26;0.9;;33.1;1.45;;45.35;2.25;;24.65;3.05;;28.4;4.05;;28.2;4.5;;27.25;4.55;;22.5;3.6;;52.95;12.7;
26.1;0.9;;33.2;1.45;;45.65;2.25;;24.85;3.05;;28.6;4.1;;28.3;4.5;;27.35;4.6;;22.55;3.65;;53.2;12.8;
26.15;0.9;;33.4;1.45;;45.8;2.25;;25.05;3;;28.65;4.05;;28.4;4.5;;27.65;4.65;;22.55;3.65;;53.55;12.9;
26.2;0.9;;33.6;1.45;;45.95;2.3;;25.2;3.05;;28.75;4.15;;28.6;4.6;;27.9;4.7;;22.6;3.65;;53.9;13;
26.25;0.9;;33.75;1.5;;46.1;2.25;;25.45;3.1;;28.9;4.15;;28.8;4.6;;28;4.8;;22.7;3.65;;54.4;13.05;
26.25;0.9;;34;1.45;;46.3;2.25;;25.6;3.15;;29;4.2;;28.9;4.65;;28.1;4.75;;22.8;3.7;;54.85;13.25;
26.25;0.85;;34.2;1.45;;46.45;2.2;;25.6;3.15;;29.2;4.25;;29;4.65;;28.35;4.8;;22.95;3.75;;55.25;13.4;
26.35;0.85;;34.4;1.45;;46.55;2.25;;25.8;3.1;;29.25;4.2;;29.15;4.65;;28.55;4.85;;23.15;3.75;;55.7;13.5;
26.4;0.9;;34.6;1.5;;46.8;2.3;;26.05;3.1;;29.35;4.2;;29.25;4.7;;28.8;4.9;;23.3;3.8;;56.25;13.7;
26.55;0.9;;34.8;1.45;;47.15;2.25;;26.2;3.1;;29.45;4.25;;29.25;4.75;;29.05;5.05;;23.4;3.85;;56.4;13.85;
26.6;0.9;;35;1.45;;47.4;2.25;;26.45;3.1;;29.6;4.25;;29.3;4.7;;29.2;5;;23.5;3.85;;56.5;13.85;
26.65;0.95;;35.15;1.4;;47.65;2.25;;26.65;3.15;;29.85;4.3;;29.45;4.75;;29.45;5.05;;23.55;3.95;;56.8;13.85;
26.7;0.9;;35.35;1.5;;47.9;2.25;;26.95;3.15;;30.1;4.3;;29.55;4.8;;29.5;5.1;;23.65;3.9;;57;14;
26.75;0.9;;35.55;1.45;;48.1;2.25;;27.15;3.15;;30.25;4.35;;29.75;4.8;;29.6;5.15;;23.85;3.9;;57.25;14.05;
26.85;0.95;;35.75;1.4;;48.35;2.25;;27.25;3.2;;30.35;4.35;;29.8;4.85;;29.6;5.15;;24;3.95;;57.65;14.2;
26.85;0.9;;36;1.45;;48.65;2.25;;27.35;3.2;;30.4;4.35;;29.9;4.85;;29.7;5.15;;24.15;4;;57.9;14.25;
26.95;0.9;;36.25;1.45;;48.95;2.25;;27.6;3.15;;30.6;4.4;;29.95;4.9;;29.85;5.15;;24.25;4.05;;58.1;14.3;
27.15;0.9;;36.4;1.45;;49.1;2.3;;27.95;3.15;;30.7;4.4;;30.05;4.85;;30;5.2;;24.35;4.1;;58.3;14.4;
27.4;0.9;;36.5;1.45;;49.4;2.25;;28.4;3.15;;30.75;4.45;;30.25;4.85;;30.15;5.25;;24.5;4.1;;58.6;14.45;
27.5;0.95;;36.7;1.5;;49.65;2.3;;28.85;3.15;;30.85;4.45;;30.45;4.95;;30.2;5.25;;24.85;4.2;;58.9;14.5;
27.6;0.95;;36.9;1.45;;49.9;2.25;;29.15;3.2;;31.15;4.4;;30.6;4.95;;30.4;5.3;;25.1;4.2;;59.05;14.65;
27.7;0.9;;37.05;1.5;;50.1;2.25;;29.6;3.2;;31.45;4.45;;30.75;5;;30.65;5.35;;25.15;4.3;;59.3;14.65;
27.9;0.85;;37.2;1.45;;50.3;2.25;;30.1;3.2;;31.6;4.45;;31;5;;30.65;5.4;;25.15;4.3;;59.35;14.75;
28.1;0.9;;37.4;1.5;;50.6;2.3;;30.75;3.2;;31.7;4.5;;31.15;5.1;;30.75;5.4;;25.2;4.35;;59.55;14.8;
28.2;0.9;;37.65;1.45;;50.95;2.3;;31.35;3.2;;31.95;4.55;;31.45;5.15;;30.8;5.5;;25.15;4.3;;59.8;14.85;
28.45;0.9;;37.9;1.45;;51.45;2.3;;32.1;3.2;;32.3;4.5;;31.75;5.25;;31.05;5.5;;25.2;4.35;;60;14.95;
28.7;0.9;;38.3;1.5;;51.9;2.3;;32.9;3.2;;32.7;4.5;;32;5.2;;31.2;5.5;;25.2;4.3;;60.25;14.95;
29.05;0.9;;38.9;1.45;;52.2;2.3;;33.45;3.2;;33.1;4.55;;32.15;5.3;;31.55;5.6;;25.2;4.3;;60.55;15.1;
29.4;0.85;;39.35;1.45;;52.65;2.3;;34;3.2;;33.65;4.55;;32.3;5.35;;31.85;5.7;;25.25;4.3;;60.7;15.15;
29.6;0.9;;39.65;1.45;;53.05;2.3;;34.35;3.25;;34.05;4.55;;32.45;5.35;;32.05;5.7;;25.45;4.35;;61;15.25;
29.75;0.95;;40;1.45;;53.5;2.35;;34.7;3.3;;34.3;4.55;;32.7;5.45;;32.25;5.75;;25.8;4.4;;61.2;15.35;
29.9;0.9;;40.4;1.4;;53.75;2.3;;35.15;3.2;;34.7;4.6;;32.85;5.4;;32.35;5.85;;25.95;4.55;;61.35;15.35;
30.15;0.9;;40.6;1.5;;54.1;2.3;;35.6;3.25;;35.15;4.65;;33.1;5.45;;32.5;5.85;;26.2;4.45;;61.6;15.35;
30.35;0.9;;40.9;1.45;;54.5;2.35;;36.2;3.25;;35.55;4.6;;33.25;5.5;;32.65;5.85;;26.6;4.55;;61.7;15.5;
30.4;0.9;;41.15;1.5;;54.85;2.3;;36.8;3.3;;36.15;4.6;;33.55;5.55;;32.95;5.9;;26.85;4.65;;61.85;15.6;
30.6;1;;41.4;1.5;;55.2;2.25;;37.4;3.25;;36.7;4.6;;33.95;5.65;;33.2;5.95;;27.05;4.75;;62.1;15.6;
31.05;0.95;;41.5;1.5;;55.45;2.3;;38.2;3.25;;37.3;4.6;;34.35;5.65;;33.45;6;;27.1;4.75;;62.3;15.65;
31.55;0.95;;41.7;1.5;;55.8;2.3;;38.9;3.25;;37.8;4.6;;34.6;5.8;;33.7;6.15;;27.2;4.75;;62.6;15.65;
32.2;0.95;;42;1.5;;56.2;2.3;;39.75;3.25;;38.25;4.6;;34.85;5.8;;33.8;6.1;;27.4;4.8;;62.75;15.75;
32.55;0.95;;42.45;1.5;;56.6;2.3;;40.65;3.25;;38.65;4.65;;35;5.85;;34;6.15;;27.9;4.85;;63;15.8;
32.8;0.95;;42.9;1.45;;56.95;2.3;;41.35;3.2;;39.15;4.7;;35.05;5.85;;34.1;6.25;;28.25;5.05;;63.1;15.85;
33.05;0.95;;43.15;1.5;;57.4;2.3;;42.05;3.3;;39.6;4.7;;35.15;5.85;;34.35;6.25;;28.45;5.1;;63.3;15.95;
33.25;0.95;;43.45;1.5;;57.8;2.3;;42.85;3.3;;40;4.6;;35.45;5.95;;34.45;6.35;;28.8;5.15;;63.45;15.95;
33.45;0.9;;43.7;1.5;;58;2.25;;43.65;3.35;;40.4;4.6;;35.75;5.95;;34.6;6.3;;29.1;5.15;;63.65;16.05;
33.85;1;;44;1.5;;58.6;2.3;;44.3;3.3;;41;4.7;;35.95;6;;34.8;6.3;;29.3;5.3;;63.9;16.15;
34.3;0.95;;44.3;1.5;;59.8;2.3;;44.8;3.3;;41.45;4.6;;36.2;6;;35;6.4;;29.6;5.35;;64.1;16.15;
34.75;0.95;;44.6;1.5;;60.9;2.3;;45.3;3.3;;41.65;4.65;;36.45;6.1;;35.1;6.5;;30;5.45;;64.3;16.25;
35.25;0.95;;44.9;1.55;;62;2.3;;46.05;3.3;;42.05;4.65;;36.6;6.1;;35.2;6.5;;30.25;5.55;;64.5;16.35;
35.65;0.95;;45.2;1.5;;62.75;2.35;;46.85;3.3;;42.45;4.65;;36.9;6.15;;35.45;6.5;;30.55;5.7;;64.75;16.4;
35.95;0.95;;45.55;1.55;;63.25;2.3;;47.5;3.3;;42.85;4.65;;37.2;6.2;;35.65;6.6;;30.9;5.75;;64.9;16.4;
36.35;0.95;;45.75;1.5;;63.65;2.3;;48.2;3.3;;43.1;4.65;;37.4;6.25;;35.8;6.65;;31.25;5.8;;65.15;16.5;
36.8;0.95;;45.95;1.5;;64.1;2.3;;48.95;3.3;;43.65;4.7;;37.65;6.25;;35.95;6.7;;31.45;5.9;;65.45;16.55;
37.3;1;;46.2;1.5;;64.6;2.3;;49.65;3.3;;44.15;4.7;;37.85;6.3;;36.15;6.75;;31.8;5.95;;65.8;16.65;
37.8;0.95;;46.55;1.5;;65.1;2.3;;50.35;3.3;;44.65;4.7;;38.2;6.35;;36.3;6.65;;32.2;6.1;;65.95;16.7;
38.35;0.95;;46.8;1.45;;65.7;2.3;;51;3.3;;45.1;4.7;;38.5;6.45;;36.5;6.7;;32.4;6.1;;66.05;16.85;
38.95;0.95;;47.1;1.5;;66.35;2.3;;51.6;3.3;;45.65;4.75;;38.9;6.4;;36.7;6.85;;32.6;6.15;;66.3;16.85;
39.45;0.95;;47.45;1.5;;66.9;2.3;;52.05;3.3;;46.15;4.75;;39.25;6.45;;36.8;6.85;;32.9;6.25;;66.6;16.9;
39.85;1;;47.75;1.5;;67.5;2.3;;52.4;3.35;;46.7;4.65;;39.5;6.5;;37;6.9;;33.35;6.35;;67;17.05;
40.3;0.95;;48.05;1.5;;68.2;2.3;;52.9;3.35;;47.05;4.65;;39.75;6.55;;37.3;6.95;;33.65;6.5;;67.15;17.15;
40.75;0.95;;48.2;1.5;;69.05;2.3;;53.4;3.35;;47.4;4.7;;40.1;6.55;;37.55;7;;33.85;6.55;;67.4;17.25;
41.45;0.95;;48.4;1.5;;69.7;2.35;;54.2;3.35;;47.95;4.7;;40.45;6.6;;37.85;7.15;;34.2;6.55;;68.35;17.35;
42.15;0.95;;48.65;1.5;;70.45;2.35;;54.75;3.4;;48.7;4.65;;40.7;6.65;;38.15;7.15;;34.55;6.65;;67.55;17.5;
42.7;0.9;;49.05;1.5;;71.25;2.4;;55.15;3.35;;49.45;4.75;;40.9;6.65;;38.4;7.2;;35.2;6.8;;68.25;17.55;
43.2;1;;49.35;1.55;;71.9;2.35;;55.6;3.35;;49.95;4.8;;41.05;6.6;;38.75;7.3;;35.55;6.95;;68.2;17.55;
43.65;0.95;;49.65;1.5;;72.55;2.35;;56.35;3.35;;50.5;4.75;;41.25;6.6;;38.95;7.4;;35.85;7.1;;68.2;17.6;
44.4;0.9;;49.85;1.5;;73.05;2.35;;57.05;3.35;;51.05;4.75;;41.55;6.65;;39.15;7.35;;36.1;7.15;;68.1;17.5;
45.2;0.95;;50.15;1.5;;73.85;2.35;;57.75;3.35;;51.6;4.8;;42.1;6.65;;39.45;7.45;;36.35;7.2;;68.05;17.55;
46;0.95;;50.45;1.55;;74.75;2.3;;58.65;3.35;;52.05;4.75;;42.85;6.7;;39.8;7.55;;36.6;7.25;;68.2;17.55;
46.7;0.9;;50.7;1.5;;75.2;2.35;;59.65;3.4;;52.5;4.75;;43.55;6.7;;40.25;7.65;;37;7.4;;67.85;17.55;
47.25;1;;50.95;1.55;;75.55;2.35;;60.5;3.35;;52.9;4.8;;44;6.7;;40.55;7.75;;37.35;7.55;;67.95;17.55;
47.8;1;;51.6;1.45;;76.05;2.35;;61.1;3.4;;53.2;4.8;;44.35;6.75;;40.95;7.75;;37.55;7.55;;68.2;17.5;
48.45;0.95;;52.15;1.45;;76.65;2.35;;61.9;3.35;;53.45;4.75;;44.75;6.7;;41.6;7.95;;37.85;7.6;;67.75;17.5;
49.05;0.95;;52.65;1.5;;77.2;2.35;;62.95;3.4;;53.75;4.8;;45.05;6.7;;42.25;8.1;;38.35;7.7;;68.25;17.55;
50.7;1;;53.7;1.5;;78.25;2.35;;64.7;3.4;;54.5;4.75;;45.75;6.7;;42.9;8.25;;38.45;7.75;;;;
51.75;1;;53.8;1.5;;79.4;2.35;;66.75;3.35;;56.45;4.75;;46.45;6.7;;43.6;8.4;;39.25;8.05;;;;
52.2;1;;55.45;1.5;;81.35;2.35;;68.75;3.4;;58.2;4.8;;47.1;6.75;;44.25;8.55;;40;8.2;;;;
52.35;1;;55.9;1.5;;83.25;2.35;;70.45;3.4;;59.65;4.75;;47.65;6.75;;45.15;8.75;;40.6;8.45;;;;
53.05;0.95;;57;1.5;;83.45;2.4;;72.2;3.45;;60.95;4.8;;49.65;6.75;;46;8.9;;41.3;8.55;;;;
56.3;1;;57.25;1.5;;83.65;2.35;;74.1;3.45;;62.2;4.85;;51.85;6.8;;46.75;9.05;;42;8.85;;;;
59.9;0.95;;57.8;1.55;;83.85;2.35;;76.15;3.45;;63.75;4.8;;53.4;6.8;;47.7;9.25;;42.7;9.05;;;;
62.25;0.95;;58.05;1.5;;84.45;2.35;;77.9;3.45;;65.45;4.8;;54.95;6.85;;48.75;9.4;;43.4;9.1;;;;
64.2;0.95;;58.35;1.5;;84.65;2.35;;79.35;3.4;;68.1;4.8;;56.2;6.85;;49.5;9.45;;44.35;9.35;;;;
66.15;1;;59.25;1.5;;84.7;2.35;;80.55;3.45;;71.3;4.85;;57.3;6.9;;50;9.55;;45.3;9.65;;;;
67.6;1;;59.9;1.55;;84.85;2.4;;81.05;3.45;;74.35;4.85;;58.25;6.9;;50.65;9.6;;46;9.9;;;;
69.1;0.95;;61.15;1.55;;84.9;2.35;;81.5;3.4;;76.95;4.9;;59.15;6.95;;51.45;9.65;;46.95;10.05;;;;
70.3;0.95;;61.55;1.55;;85.15;2.35;;83.3;3.4;;79.05;4.85;;60.3;6.95;;52.5;9.7;;47.85;10.3;;;;
71.35;0.95;;62.9;1.55;;85.1;2.35;;83.5;3.4;;80.6;4.9;;61.3;6.95;;53.6;9.7;;48.4;10.6;;;;
73.05;1;;63.05;1.55;;85.15;2.35;;83.75;3.4;;81.4;4.95;;62.5;6.9;;54.75;9.75;;48.75;10.7;;;;
74.75;1;;64.15;1.5;;;;;83.8;3.45;;82.8;4.95;;64;6.95;;56.1;9.75;;50.4;11;;;;
76.65;1;;64.8;1.55;;;;;84;3.45;;83.45;4.9;;65.4;6.95;;57.35;9.8;;51.2;11.15;;;;
78.65;1;;65.25;1.5;;;;;84.15;3.45;;83.5;4.95;;66.65;7;;58.3;9.85;;52.15;11.4;;;;
81.15;1;;66.35;1.5;;;;;84.45;3.45;;83.6;4.95;;67.95;7;;59.25;9.9;;53.1;11.65;;;;
83.65;1;;66.5;1.55;;;;;84.45;3.5;;83.8;4.95;;69.95;7;;59.95;9.85;;54.1;11.85;;;;
83.9;1;;67.25;1.5;;;;;84.3;3.5;;83.8;4.95;;72.05;7;;60.55;9.8;;54.85;12.15;;;;
84.05;1;;68.05;1.5;;;;;84.55;3.45;;83.8;4.95;;74.2;7;;61.4;9.85;;55.5;12.25;;;;
84.25;1;;68.4;1.55;;;;;84.6;3.45;;83.8;4.95;;75.85;7;;62.8;9.9;;56.2;12.5;;;;
84.45;1.05;;68.75;1.55;;;;;84.7;3.5;;83.8;4.95;;77.05;7;;64.85;9.9;;57.05;12.65;;;;
84.7;1;;69.1;1.55;;;;;84.65;3.45;;83.8;4.95;;78.5;7;;66.15;9.95;;58;12.9;;;;
84.9;1.05;;69.2;1.55;;;;;84.8;3.5;;83.95;4.95;;80.1;7.05;;67.1;9.95;;58.7;13;;;;
85.1;1;;69.9;1.5;;;;;84.9;3.45;;84.15;4.95;;81.55;7.1;;68.5;9.95;;59.1;13.15;;;;
85.25;1;;70.65;1.5;;;;;84.7;3.45;;84.3;4.95;;82.8;7.1;;70.1;10;;59.7;13.2;;;;
85.35;1;;72.9;1.55;;;;;84.8;3.5;;84.35;4.95;;83.35;7.1;;71.25;10;;60.15;13.3;;;;
85.55;1.05;;73.15;1.5;;;;;84.85;3.5;;84.45;4.9;;83.5;7.05;;72.7;10.05;;60.6;13.4;;;;
85.6;1;;74.65;1.55;;;;;84.95;3.5;;84.5;4.95;;83.6;7.05;;73.85;10;;61.05;13.45;;;;
85.6;1;;76.25;1.55;;;;;;;;84.65;4.9;;83.7;7.1;;74.8;10.1;;61.6;13.55;;;;
85.7;1.05;;76.3;1.55;;;;;;;;84.75;4.95;;83.85;7.1;;75.6;10;;62.15;13.65;;;;
85.75;1;;78.4;1.55;;;;;;;;84.5;4.95;;83.9;7.05;;76.5;10.05;;62.8;13.65;;;;
85.75;1;;79.25;1.55;;;;;;;;84.8;4.95;;84.1;7.15;;77.7;10.05;;63.45;13.75;;;;
85.8;1;;80.25;1.6;;;;;;;;84.85;4.95;;84.25;7.15;;79;10.1;;64.25;13.85;;;;
85.85;1;;82.25;1.55;;;;;;;;84.85;4.95;;84.3;7.15;;80.55;10.1;;65.3;13.85;;;;
85.9;1;;82.5;1.5;;;;;;;;;;;84.35;7.1;;82.45;10.1;;66.1;13.9;;;;
85.9;1.05;;83.25;1.5;;;;;;;;;;;84.4;7.1;;83.5;10.1;;67.35;13.9;;;;
85.95;1;;83.45;1.55;;;;;;;;;;;84.45;7.1;;83.6;10.15;;68.8;13.95;;;;
85.85;1;;83.5;1.55;;;;;;;;;;;84.5;7.1;;83.65;10.15;;70.3;14;;;;
85.9;1.1;;83.6;1.55;;;;;;;;;;;84.55;7.1;;83.75;10.1;;71.4;14.05;;;;
85.95;1;;83.75;1.55;;;;;;;;;;;;;;83.75;10.15;;72.55;14;;;;
86;1;;83.95;1.55;;;;;;;;;;;;;;83.85;10.15;;72.7;14.1;;;;
86.05;1.05;;83.95;1.6;;;;;;;;;;;;;;83.8;10.15;;72.9;14.1;;;;
86.1;1;;84;1.55;;;;;;;;;;;;;;83.9;10.15;;74.05;14.05;;;;
86.15;1;;84.15;1.6;;;;;;;;;;;;;;83.9;10.1;;75.45;14.05;;;;
86.15;1;;84.2;1.55;;;;;;;;;;;;;;83.9;10.15;;76.95;14.15;;;;
;;;84.45;1.55;;;;;;;;;;;;;;83.85;10.15;;78.05;14.15;;;;
;;;84.55;1.6;;;;;;;;;;;;;;83.95;10.15;;78.8;14.2;;;;
;;;84.6;1.6;;;;;;;;;;;;;;84;10.15;;79.8;14.2;;;;
;;;84.65;1.55;;;;;;;;;;;;;;84;10.1;;81.45;14.2;;;;
;;;84.7;1.6;;;;;;;;;;;;;;84;10.1;;82.15;14.2;;;;
;;;84.85;1.6;;;;;;;;;;;;;;;;;82.4;14.25;;;;
;;;84.85;1.6;;;;;;;;;;;;;;;;;82.6;14.25;;;;
;;;84.9;1.55;;;;;;;;;;;;;;;;;82.85;14.2;;;;
;;;84.95;1.55;;;;;;;;;;;;;;;;;82;14.2;;;;
;;;85;1.55;;;;;;;;;;;;;;;;;82;14.25;;;;
;;;85.05;1.6;;;;;;;;;;;;;;;;;82.05;14.2;;;;
;;;85.15;1.6;;;;;;;;;;;;;;;;;82.1;14.25;;;;
;;;85.2;1.6;;;;;;;;;;;;;;;;;82.4;14.25;;;;
;;;85.25;1.6;;;;;;;;;;;;;;;;;82.35;14.2;;;;
;;;85.3;1.55;;;;;;;;;;;;;;;;;82;14.25;;;;
;;;85.4;1.55;;;;;;;;;;;;;;;;;82.4;14.3;;;;
;;;;;;;;;;;;;;;;;;;;;82.95;14.25;;;;
;;;;;;;;;;;;;;;;;;;;;82.05;14.25;;;;
;;;;;;;;;;;;;;;;;;;;;82.9;14.25;;;;
;;;;;;;;;;;;;;;;;;;;;82.15;14.25;;;;
